OBJECTID,ZIP_CODE,populationtotals_totpop_cy,Positive,CasesP100000,ZipInt,ActiveCases,ActiveCaseRate,SHAPE_Length,SHAPE_Area
1,78002,9061,872,9623.661847,78002,93,1026.37678,0.427542059,0.009546238
2,78006,5243,223,4253.290101,78006,22,419.6070952,0.55272516,0.005416492
4,78015,12254,529,4316.957728,78015,47,383.5482291,0.278955129,0.002312008
5,78023,29569,1615,5461.801211,78023,132,446.4134736,0.886454761,0.017921694
7,78052,699,24,3433.476395,78052,2,286.1230329,0.260085446,0.001146763
12,78069,2290,197,8602.620087,78069,25,1091.703057,0.254858728,0.002040969
13,78073,7312,798,10913.56674,78073,119,1627.461707,0.580797712,0.011684798
14,78101,4485,253,5641.025641,78101,35,780.3790412,0.543171951,0.006502197
15,78108,880,11,1250,78108,0,0,0.304887307,0.000857617
16,78109,50260,3302,6569.836848,78109,379,754.0787903,0.737848687,0.007681901
17,78112,8791,789,8975.088158,78112,76,864.5205324,0.542672386,0.011407797
21,78148,20881,1287,6163.497917,78148,126,603.4193765,0.308430817,0.001467862
22,78150,294,7,2380.952381,78150,0,0,0.253047859,0.000889137
23,78152,2234,223,9982.094897,78152,21,940.0179051,0.495777478,0.007844508
24,78154,12029,355,2951.201264,78154,27,224.4575609,0.739526072,0.004309989
27,78201,45977,4298,9348.152337,78201,491,1067.925267,0.247548532,0.001720515
28,78202,12654,1032,8155.523945,78202,138,1090.564248,0.125396079,0.000595885
29,78203,5888,579,9833.559783,78203,77,1307.744565,0.09805268,0.00031766
30,78204,13172,1149,8723.048892,78204,144,1093.22806,0.158998399,0.000669551
31,78205,1633,127,7777.097367,78205,14,857.31782,0.120517878,0.000239364
32,78207,58019,6041,10412.10638,78207,646,1113.42836,0.200003384,0.001818122
33,78208,5262,419,7962.751805,78208,53,1007.221589,0.102264617,0.000242633
34,78209,42456,2262,5327.868852,78209,206,485.2082156,0.2506019,0.00241631
35,78210,39242,3409,8687.120942,78210,377,960.7053667,0.261500777,0.001831173
36,78211,32211,3907,12129.39679,78211,474,1471.546987,0.318946413,0.00241266
37,78212,29916,2055,6869.233855,78212,220,735.3924321,0.204094906,0.001698983
38,78213,42065,3661,8703.197433,78213,408,969.9274932,0.238127833,0.001880856
39,78214,24155,2721,11264.7485,78214,302,1250.258746,0.393022289,0.003142416
40,78215,4445,235,5286.839145,78215,25,562.4296963,0.101510445,0.000252615
41,78216,37499,2888,7701.538708,78216,349,930.6914851,0.292918076,0.003392777
42,78217,32205,2083,6467.939761,78217,221,686.2288465,0.297492486,0.002394803
43,78218,37306,2810,7532.300434,78218,316,847.0487321,0.282249032,0.002632771
44,78219,16333,1375,8418.539154,78219,176,1077.573012,0.41252409,0.003455865
45,78220,17459,1706,9771.464574,78220,151,864.8834412,0.326720497,0.002620558
46,78221,40109,4560,11369.01942,78221,499,1244.109801,0.62274793,0.007990587
47,78222,22529,2314,10271.206,78222,287,1273.913622,0.405847443,0.003968036
48,78223,55608,5655,10169.40009,78223,630,1132.930514,0.961477671,0.009945271
49,78224,20239,2836,14012.55003,78224,336,1660.161075,0.4362202,0.003676469
50,78225,12982,1553,11962.71761,78225,220,1694.654136,0.099040602,0.000459708
51,78226,6269,856,13654.49035,78226,106,1690.859786,0.219270267,0.000926277
52,78227,47269,4836,10230.80666,78227,539,1140.282215,0.401205101,0.003364672
53,78228,62538,6312,10093.06342,78228,670,1071.34862,0.245259022,0.002719354
54,78229,31602,2426,7676.729321,78229,304,961.9644326,0.182495933,0.001369011
55,78230,42740,2683,6277.491811,78230,230,538.137576,0.24825369,0.002503687
56,78231,10967,449,4094.100483,78231,52,474.1497219,0.225308648,0.001094628
57,78232,37942,1983,5226.398187,78232,202,532.391545,0.239645125,0.002875325
58,78233,48110,3123,6491.373935,78233,322,669.2995219,0.317882386,0.003316975
59,78234,7288,129,1770.032931,78234,5,68.60592755,0.227581834,0.001267701
60,78235,3182,169,5311.125079,78235,16,502.8284098,0.100441654,0.000513576
61,78236,11007,1376,12501.13564,78236,7,63.59589352,0.452838569,0.003259278
62,78237,36938,5367,14529.75256,78237,616,1667.659321,0.173880398,0.001668031
63,78238,26671,2297,8612.350493,78238,292,1094.822091,0.257059055,0.002244302
64,78239,32687,2073,6341.970814,78239,234,715.8809313,0.217431139,0.001619772
65,78240,55756,3709,6652.198866,78240,398,713.8245211,0.279515,0.002708853
66,78242,31814,3782,11887.84812,78242,411,1291.884076,0.195385628,0.001881517
67,78244,33128,2605,7863.438783,78244,316,953.8758754,0.310727524,0.001743976
68,78245,87105,7559,8678.03226,78245,771,885.1386258,0.511141486,0.008017727
69,78247,50358,3159,6273.084713,78247,317,629.4928313,0.338586399,0.003150433
70,78248,13934,732,5253.337161,78248,58,416.2480264,0.166139348,0.000964216
71,78249,57928,3935,6792.915343,78249,317,547.2310454,0.301737053,0.003557857
72,78250,55375,3748,6768.397291,78250,337,608.5778781,0.313230622,0.002336111
73,78251,59980,4393,7324.108036,78251,442,736.9123041,0.286268629,0.003494954
74,78252,14611,1465,10026.69222,78252,150,1026.623777,0.545708595,0.007323314
75,78253,55635,3543,6368.293341,78253,366,657.8592613,0.373568112,0.008029282
76,78254,69088,4597,6653.832793,78254,371,536.9962946,0.632954165,0.006049785
77,78255,18495,883,4774.263314,78255,84,454.1768045,0.5193122,0.003927291
78,78256,12856,871,6775.046671,78256,68,528.9359054,0.233368174,0.002019188
79,78257,9807,880,8973.182421,78257,66,672.9886816,0.632339516,0.01387363
80,78258,49810,3128,6279.863481,78258,327,656.4946798,0.403847744,0.004083756
81,78259,28293,1563,5524.334641,78259,115,406.4609621,0.30299657,0.004198247
82,78260,36255,2232,6156.392222,78260,227,626.1205351,0.407155779,0.005817656
83,78261,23828,1522,6387.443344,78261,150,629.5114991,0.474301719,0.00674324
84,78263,5228,342,6541.698546,78263,39,745.9831676,0.680811731,0.010404844
85,78264,13113,1246,9502.020895,78264,184,1403.187676,0.726860356,0.016810645
86,78266,1362,47,3450.807636,78266,3,220.2643172,0.454406296,0.002098112